,0
202,-2.0975322293710352
203,-2.097902092365131
204,-2.0982719547066986
205,-2.0986418164055562
206,-2.099011677471375
207,-2.0993815379136813
208,-2.099751397741859
209,-2.10012125696515
210,-2.1006495155926594
211,-2.1011777749533547
212,-2.101706035036298
213,-2.1022342958307156
214,-2.102762557325996
215,-2.103290819511685
216,-2.103819082377487
217,-2.10434734591326
218,-2.1048756101090134
219,-2.105403874954907
220,-2.1058361404412484
221,-2.10626840575849
222,-2.1067006709092095
223,-2.1071329358959465
224,-2.1075652007212025
225,-2.107997465387441
226,-2.1084297298970895
227,-2.108861994252538
228,-2.1092942584561416
229,-2.109726522510219
230,-2.110245186417055
231,-2.1107638508989
232,-2.111282515947187
233,-2.111801181553476
234,-2.1123198477094554
235,-2.1128385144069366
236,-2.1133571816378547
237,-2.1138758493942653
238,-2.1143945176683427
239,-2.1149131864523794
240,-2.1153022557387833
241,-2.1156913244400752
242,-2.116080392565065
243,-2.1164694601224303
244,-2.1168585271207188
245,-2.11724759356835
246,-2.1176366594736167
247,-2.1180257248446885
248,-2.1184147896896115
249,-2.1188038540163117
250,-2.119173717832596
251,-2.1195435809861545
252,-2.1199134434869586
253,-2.12028330534483
254,-2.1206531665694435
255,-2.1210230271703283
256,-2.1213928871568712
257,-2.121762746538318
258,-2.1221326053237766
259,-2.122502463522217
260,-2.1229443211424757
261,-2.123386178793257
262,-2.1238280364741478
263,-2.1242698941847404
264,-2.124711751924634
265,-2.125153609693434
266,-2.1255954674907507
267,-2.126037325316201
268,-2.126479183169407
269,-2.1269210410499975
270,-2.127362898957606
271,-2.127804756891871
272,-2.128246614852438
273,-2.128688472838957
274,-2.129130330851082
275,-2.129572188888474
276,-2.1300140469507993
277,-2.130455905037727
278,-2.130897763148933
279,-2.1313396212840976
280,-2.1318726794429064
281,-2.1324057383850485
282,-2.1329387980988352
283,-2.133471858572753
284,-2.1340049197954607
285,-2.1345379817557872
286,-2.135071044442729
287,-2.135604107845447
288,-2.1361371719532656
289,-2.1366702367556685
290,-2.1371265022422965
291,-2.137582767762947
292,-2.1380390333171557
293,-2.138495298904465
294,-2.1389515645244246
295,-2.1394078301765904
296,-2.1398640958605255
297,-2.140320361575799
298,-2.140776627321987
299,-2.1412328930986715
300,-2.1416603589054413
301,-2.142087824501891
302,-2.142515289891216
303,-2.1429427550765636
304,-2.1433702200610347
305,-2.1437976848476827
306,-2.144225149439516
307,-2.1446526138394972
308,-2.1450800780505452
309,-2.145507542075535
310,-2.146002205917298
311,-2.1464968701386242
312,-2.1469915347338726
313,-2.147486199697488
314,-2.147980865023998
315,-2.1484755307080126
316,-2.1489701967442216
317,-2.1494648631273954
318,-2.1499595298523824
319,-2.1504541969141084
320,-2.150968064307575
321,-2.1514819321878593
322,-2.1519958005477147
323,-2.152509669380004
324,-2.1530235386776972
325,-2.153537408433869
326,-2.1540512786416977
327,-2.154565149294465
328,-2.1550790203855525
329,-2.1555928919084413
330,-2.1561451638567095
331,-2.1566974365440323
332,-2.1572497099593866
333,-2.1578019840919147
334,-2.1583542589309213
335,-2.158906534465871
336,-2.1594588106863877
337,-2.1600110875822494
338,-2.1605633651433878
339,-2.161115643359886
340,-2.161706322221975
341,-2.162297002040033
342,-2.162887682799789
343,-2.1634783644871862
344,-2.164069047088378
345,-2.164659730589726
346,-2.165250414977795
347,-2.165841100239353
348,-2.1664317863613656
349,-2.1670224733309933
350,-2.1675699611355896
351,-2.1681174494026973
352,-2.168664938125438
353,-2.1692124272970363
354,-2.169759916910819
355,-2.170307406960212
356,-2.170854897438741
357,-2.1714023883400273
358,-2.171949879657789
359,-2.1724973713858375
360,-2.1732992635180777
361,-2.1741011581685052
362,-2.1749030552994526
363,-2.1757049548738174
364,-2.1765068568550525
365,-2.1773087612071595
366,-2.1781106678946793
367,-2.178912576882684
368,-2.1797144881367694
369,-2.1805164016230476
370,-2.1812127173081377
371,-2.18190903427916
372,-2.1826053525169082
373,-2.183301672002463
374,-2.1839979927171904
375,-2.184694314642734
376,-2.1853906377610133
377,-2.1860869620542194
378,-2.186783287504809
379,-2.187479614095503
380,-2.1884303418092808
381,-2.1893810727493768
382,-2.190331806867524
383,-2.191282544116178
384,-2.192233284448508
385,-2.193184027818385
386,-2.1941347741803705
387,-2.195085523489708
388,-2.1960362757023124
389,-2.1969870307747583
390,-2.1985569886642717
391,-2.20012695448872
392,-2.2016969281293157
393,-2.203266909469052
394,-2.2048368983926747
395,-2.2064068947866593
396,-2.2079768985391817
397,-2.2095469095400944
398,-2.211116927680901
399,-2.2126869528547317
400,-2.2136281849563186
401,-2.2145694186419713
402,-2.215510653888039
403,-2.216451890671225
404,-2.217393128968582
405,-2.218334368757507
406,-2.219275610015735
407,-2.220216852721336
408,-2.2211580968527076
409,-2.2220993423885713
410,-2.2232613893079685
411,-2.224423439430254
412,-2.2255854927075323
413,-2.2267475490926265
414,-2.227909608539067
415,-2.2290716710010803
416,-2.2302337364335787
417,-2.231395804792151
418,-2.232557876033052
419,-2.233719950113191
420,-2.2345460269901247
421,-2.2353721038220455
422,-2.23619818060971
423,-2.2370242573538652
424,-2.237850334055245
425,-2.238676410714574
426,-2.239502487332564
427,-2.240328563909918
428,-2.241154640447328
429,-2.241980716945475
430,-2.24319079340503
431,-2.2444008730266547
432,-2.24561095576307
433,-2.246821041567707
434,-2.248031130394693
435,-2.2492412221988447
436,-2.2504513169356555
437,-2.2516614145612857
438,-2.252871515032553
439,-2.254081618306922
440,-2.255013324342495
441,-2.2559450307780033
442,-2.2568767376075445
443,-2.2578084448253053
444,-2.2587401524255597
445,-2.259671860402667
446,-2.2606035687510713
447,-2.2615352774653004
448,-2.262466986539964
449,-2.263398695969751
450,-2.2643064057494326
451,-2.2652141156738566
452,-2.266121825740944
453,-2.267029535948647
454,-2.267937246294949
455,-2.2688449567778632
456,-2.269752667395432
457,-2.2706603781457275
458,-2.2715680890268515
459,-2.2724758000369336
460,-2.2737051111741313
461,-2.27493442511663
462,-2.276163741822501
463,-2.2773930612504447
464,-2.27862238335978
465,-2.2798517081104355
466,-2.281081035462941
467,-2.2823103653784176
468,-2.2835396978185694
469,-2.284769032745674
470,-2.2859071701225755
471,-2.287045309152674
472,-2.288183449811302
473,-2.289321592074162
474,-2.2904597359173198
475,-2.291597881317201
476,-2.2927360282505838
477,-2.293874176694595
478,-2.295012326626704
479,-2.2961504780247184
480,-2.2998278308667777
481,-2.3035052062913497
482,-2.3071826039602903
483,-2.3108600235405237
484,-2.314537464703968
485,-2.3182149271274577
486,-2.3218924104926733
487,-2.3255699144860658
488,-2.3292474387987867
489,-2.332924983126617
490,-2.3362809471698975
491,-2.339636927953462
492,-2.342992925226709
493,-2.346348938742794
494,-2.349704968258572
495,-2.3530610135345436
496,-2.3564170743347987
497,-2.359773150426964
498,-2.363129241582149
499,-2.366485347574896
500,-2.3710078681831237
501,-2.3755304129080828
502,-2.3800529813887157
503,-2.3845755732693767
504,-2.389098188199752
505,-2.3936208258347786
506,-2.398143485834566
507,-2.402666167864319
508,-2.40718887159426
509,-2.411711596699556
510,-2.4163303428602423
511,-2.420949110561151
512,-2.4255678994798564
513,-2.430186709298765
